姓名,科室,职称,职务,照片链接
王秀艳,健康体检中心,主任护师   硕导 健康管理师 心理咨询师,科主任,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/7360D5530580C46278CDACFE0480380B.jpg
娜日苏,,主任医师,科室副主任,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/8D0D7855490939A266392ACD6F6EA069.jpg
丁赤平,健康体检中心,主任医师,无,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/92032E6DF5A267B1C542E2B364B71993.jpg
千军,健康管理中心,主任医师,内蒙古自治区人民医院保健分院副院长,http://jkglzx.nmgyy.cn/images/zjjs/2018/06/12/E0591C508FC633B9CBAC2D366774079B.png
安娟,,,无,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/1DAA15B37EAF4996A43BE4FA91ECAECF.jpg
海荣,健康体检中心,主任医师,健康体检中心特约专家  健康管理学博士,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/EDCB0AE3293C22BE933855E9F904470C.jpg
卢薇,健康管理中心,主任医师  知名专家 医学教授,无,http://jkglzx.nmgyy.cn/images/uploadfiles/20220617/3B6D0E4D380F4FE68AD4F4875C6809FA.jpg
李月梅,,主任医师,无,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/6C87F12A1F2189A1F02F295720448E04.jpg
陈继先,,主任医师,无,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/0E0C20618C45D14A9C800C6BE8573715.jpg
陈英,,主任医师,无,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/A4BD88BD99F39E33115B52F8FDD65D5F.png
宋玮,,副主任医师,,http://jkglzx.nmgyy.cn/images/zjjs/2015/07/22/5399911A0CDFA8F63758F284AAE612E7.jpg
蔚锦凤,健康管理中心（体检中心）,副主任医师,,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/89D9ED44677F4B26AB5FD5DE4F9CB1A1.png
王淑芳,,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/FB8DF5CDFAB14DB3B127D9BACA41B709.jpg
梅艳,健康管理中心（体检中心）,,主治医师  硕士研究生,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/CA2764257E115E42EF29BCDE585D7880.png
邬晓春,,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/A1A03F793A444C59B3AF2D1112882224.png
刘贞庆,健康管理中心（体检中心）,,主治医师  大学本科,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/BDEBD6509B17ECF61A00DEA6B7891CBD.png
李晨曦,,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/94E2E31ACFD4445B869844AF1C9B304C.jpg
吴昕怡,,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/BD472266E3C6415CB6FEF75BFDB37739.jpg
戴静,,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/6EF383D8C3AA464D8D2C71064A209A41.jpg
尚霄阳,健康管理医学科,,,http://jkglzx.nmgyy.cn/images/uploadfiles/20220706/817254A0A479416D9AE90AFE8AF5F483.png
罗念容,健康体检中心,副主任医师,,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/A2B92C6C05836B4BA28B5F4C079A1B9D.png
参丹格日乐,健康管理中心（体检中心）,医师  博士研究生,,http://jkglzx.nmgyy.cn/images/uploadfiles/20240319/263777ABD318439D9F10A9918087203E.jpg
张丽娟,健康管理中心,,主任护师,http://jkglzx.nmgyy.cn/images/zjjs/2019/05/17/5BEF916F7CD859DEDBEB0A5945A18393.jpg
吴汝虹,健康体检中心,住院医师,,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/F1D0CD8DC697F73FC4FE73F91D5B0EA3.png
仁姝红,健康体检中心,住院医师,,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/C99CBA18D56A8837D16CEEFF467978B9.png
张怡,,,住院医师 人力资源和社会保障部认证高级营养师,http://jkglzx.nmgyy.cn/images/zjjs/2018/07/05/5D394794EBF80855E56FB0A7132D1EE6.png
